link_produto,nome_produto,preco_atual,data_raspagem,link_imagem,cor_disponivel
https://chicorei.com/camiseta/camiseta-meow-circle-174696.html?gender=M,Camiseta Meow Circle,39.9,2025-10-02 22:22:21.624110,"https://chicorei.imgix.net/174696/db0da290-70ff-11ef-bb7d-25cef432805e.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Preto Noir']
https://chicorei.com/camiseta/camiseta-catch-em-all-14996.html?gender=M,Camiseta Catch 'Em All,39.9,2025-10-02 22:22:21.622184,"https://chicorei.imgix.net/14996/2655cff0-b3e7-11ef-9695-e16fb116b231.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Amarelo Manga']
https://chicorei.com/camiseta/camiseta-meowth-10291.html?gender=M,Camiseta Meowth,39.9,2025-10-02 22:22:21.618668,"https://chicorei.imgix.net/10291/e50e8ba3-4ae4-11f0-a1ee-55ebe64c5ee5.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Bege Baunilha']
https://chicorei.com/camiseta/camiseta-equipe-rocket-12116.html?gender=M,Camiseta Equipe Rocket,39.9,2025-10-02 22:22:21.614590,"https://chicorei.imgix.net/12116/56f7e872-1cb1-11ed-b266-81602c92d178.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Bege Baunilha']
https://chicorei.com/camiseta/camiseta-kaneda-rebel-19482.html?gender=M,Camiseta Kaneda Rebel,39.9,2025-10-02 22:22:21.612192,"https://chicorei.imgix.net/19482/d2f17fd1-227e-11ee-af5c-49acbb75baf5.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top","['Preto Noir', 'Mescla Gaivota']"
https://chicorei.com/camiseta/camiseta-black-coffee-attack-12217.html?gender=M,Camiseta Black Coffee Attack,39.9,2025-10-02 22:22:21.610372,"https://chicorei.imgix.net/12217/42d5ad70-39bf-11ed-b5cb-a709069a0424.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Preto Noir']
https://chicorei.com/camiseta/camiseta-secret-garden-9806.html?gender=M,Camiseta Secret Garden,39.9,2025-10-02 22:22:21.603155,"https://chicorei.imgix.net/9806/f75f2940-3863-11ed-ae23-8566efb806e4.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top","['Bege Baunilha', 'Branco Cannoli']"
https://chicorei.com/camiseta/camiseta-bebop-in-space-20743.html?gender=M,Camiseta Bebop In Space,39.9,2025-10-02 22:22:21.592047,"https://chicorei.imgix.net/20743/07db3e30-365d-11ec-8082-87b0346d7db8.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top","['Preto Noir', 'Marrom Sucupira']"
https://chicorei.com/camiseta/camiseta-gyarados-15001.html?gender=M,Camiseta Gyarados,39.9,2025-10-02 22:22:21.595412,"https://chicorei.imgix.net/15001/7e1f77e0-365e-11ec-b474-997630aa86fd.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top","['Azul Surf', 'Preto Noir', 'Marrom Sucupira']"
https://chicorei.com/camiseta/camiseta-kadabra-2001.html?gender=M,Camiseta Kadabra,39.9,2025-10-02 22:22:21.587060,"https://chicorei.imgix.net/2001/3ed5fcc0-be16-11e9-b6b0-e174eb9b64cd.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Preto Noir']
https://chicorei.com/camiseta/ghost-in-the-shell-2086.html?gender=M,Camiseta Ghost in the Shell,39.9,2025-10-02 22:22:21.582298,"https://chicorei.imgix.net/2086/54445832-e976-11eb-9b8c-2b56459c5209.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top","['Mescla Gaivota', 'Branco Cannoli', 'Bege Baunilha']"
https://chicorei.com/camiseta/mewtwo-1844.html?gender=M,Camiseta Mewtwo,39.9,2025-10-02 22:22:21.577324,"https://chicorei.imgix.net/1844/970d1930-cb24-11e9-b6af-0f33bd2ddf0f.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Branco Cannoli']
